id,date,tlt,ud,pmt,wp,a,p,q,oee,rate,wf,uf,rework,give,line,unit,std,chk,Remark,waste_film_remark,waste_pellet_remark
35901,2023-05-14,3.1,0,4953,0,100,88.76,100,88.76,39.94,0.08,477,0,25.118,A,PP12,45,1,-,"หัวม้วน,ท้ายม้วน",-
35902,2023-05-14,11.92,0,12839,0,100,89.76,100,89.76,26.93,1.5,1284,0,25.115,A,PP3,30,1,,,
35903,2023-05-14,11.92,0,14000,0,100,97.87,100,97.87,29.36,2,1400,0,25.115,B,PP3,30,1,,,
35904,2023-05-14,7.08,0,7893,0,100,92.9,100,92.9,27.87,0.6,850,0,25.116,C,PPE,30,1,,,
35905,2023-05-14,7.08,0,7843,0,100,92.31,100,92.31,27.69,0.8,819,0,25.116,D,PPE,30,1,,,
35906,2023-05-15,0,0,0,0,0,0,0,0,0,0,0,0,25.11,A,PP12,45,1,,,
35907,2023-05-15,5.58,0,6078,0,100,90.77,100,90.77,27.23,0.6,659,0,25.115,A,HDPE,30,0,,,
35908,2023-05-15,9.42,0,10960,0,100,96.96,100,96.96,29.09,1.82,1086,0,25.114,A,PP3,30,0,,,
35909,2023-05-15,9.42,0,10976,0,100,97.1,100,97.1,29.13,1.84,1102,0,25.115,B,PP3,30,0,,,
35910,2023-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,C,PPE,30,0,Plant S/D,,
35911,2023-05-15,0,0,0,0,0,0,0,0,0,0,0,0,0,D,PPE,30,0,Plant S/D,,
35912,2023-05-16,0.32,0,329,0,100,85.68,100,85.68,25.7,0,60,0,25.115,C,PP12,30,1,,,
35913,2023-05-16,7.75,2,8984,0,74.19,86.8,100,64.4,39.06,0.6,901,0,25.116,A,PP12,45,1,LINE A 02.00-04.00เครื่องpallet fault F177-D035 No actual value change hoist แก้ไขและหาสาเหตุไม่พบทำการmanualไม่ได้OFFไฟหลายรอบก็ไม่หายจึงOFFไฟทิ้งไว้แล้วมาONใหม่ faultหายไปและmanualได้ปรกติ,,
35914,2023-05-16,2.83,0,3000,0,100,88.34,100,88.34,26.5,0.4,297,0,25.119,A,PPC,30,1,,,
35915,2023-05-16,0,0,0,0,0,0,0,0,0,0,0,0,0,B,PPC,30,0,รอโปรแกรม,,
35916,2023-05-16,12.17,0,11964,0,100,81.92,100,81.92,24.58,7,1170,0,25.115,A,PP3,30,0,เครื่อง Bagging ปล่อยถุงทิ้ง เดินเครื่อง Rate bag out 20 MT./HR,เครื่อง Bagging ปล่อยถุงทิ้ง,
